"Reference";"Value";"Footprint";"Qty";"Manufacturer_Name";"Manufacturer_Part_Number";"Mouser Part Number";"Exclude from BOM";"Projekt"
"C1";"330n";"Capacitor_SMD:C_1206_3216Metric";"1";"KEMET ";"C1206X334J1RECAUTO ";"80-C1206X334J1RECAUT ";"";"Analogmodul"
"C2";"100n";"Capacitor_SMD:C_1206_3216Metric";"1";"Murata Electronics ";"GRM3195C2A104JA01D ";"81-GRM3195C2A104JA1D ";"";"Analogmodul"
"C3";"1u";"Capacitor_SMD:C_1206_3216Metric";"1";"KEMET ";"C1206X105J1RACTU ";"80-C1206X105J1R ";"";"Analogmodul"
"C4";"100n";"Capacitor_SMD:C_1206_3216Metric";"1";"Murata Electronics ";"GRM3195C2A104JA01D ";"81-GRM3195C2A104JA1D ";"";"Analogmodul"
"C5";"100n";"Capacitor_SMD:C_1206_3216Metric";"1";"Murata Electronics ";"GRM3195C2A104JA01D ";"81-GRM3195C2A104JA1D ";"";"Analogmodul"
"C6";"100n";"Capacitor_SMD:C_1206_3216Metric";"1";"Murata Electronics ";"GRM3195C2A104JA01D ";"81-GRM3195C2A104JA1D ";"";"Analogmodul"
"C7";"100n";"Capacitor_SMD:C_1206_3216Metric";"1";"Murata Electronics ";"GRM3195C2A104JA01D ";"81-GRM3195C2A104JA1D ";"";"Analogmodul"
"C8";"21n";"Capacitor_SMD:C_1206_3216Metric";"1";"Murata Electronics ";"GRM3195C2A104JA01D ";"81-GRM3195C2A104JA1D ";"";"Analogmodul"
"C9";"100n";"Capacitor_SMD:C_1206_3216Metric";"1";"Murata Electronics ";"GRM3195C2A104JA01D ";"81-GRM3195C2A104JA1D ";"";"Analogmodul"
"C10";"21n";"Capacitor_SMD:C_1206_3216Metric";"1";"Murata Electronics ";"GRM3195C2A104JA01D ";"81-GRM3195C2A104JA1D ";"";"Analogmodul"
"C11";"100n";"Capacitor_SMD:C_1206_3216Metric";"1";"Murata Electronics ";"GRM3195C2A104JA01D ";"81-GRM3195C2A104JA1D ";"";"Analogmodul"
"C12";"1u";"Capacitor_SMD:C_1206_3216Metric";"1";"KEMET ";"C1206X105J1RACTU ";"80-C1206X105J1R ";"";"Analogmodul"
"C13";"1u";"Capacitor_SMD:C_1206_3216Metric";"1";"KEMET ";"C1206X105J1RACTU ";"80-C1206X105J1R ";"";"Analogmodul"
"C15";"10n";"Capacitor_SMD:C_1206_3216Metric";"1";"Murata Electronics ";"GRT3195C2A103JA02D ";"81-GRT3195C2A103JA2D";"";"Analogmodul"
"C16";"10n";"Capacitor_SMD:C_1206_3216Metric";"1";"Murata Electronics ";"GRT3195C2A103JA02D ";"81-GRT3195C2A103JA2D";"";"Analogmodul"
"C17";"100n";"Capacitor_SMD:C_1206_3216Metric";"1";"Murata Electronics ";"GRT3195C2A103JA02D ";"81-GRT3195C2A103JA2D";"";"Analogmodul"
"C18";"10u";"Capacitor_SMD:C_1206_3216Metric";"1";"Murata Electronics ";"GRT3195C2A103JA02D ";"81-GRT3195C2A103JA2D";"";"Analogmodul"
"C19";"100n";"Capacitor_SMD:C_1206_3216Metric";"1";"KEMET ";"C1206C224J1RECAUTO ";"80-C1206C224J1RECAUT ";"";"Analogmodul"
"C20";"100n";"Capacitor_SMD:C_1206_3216Metric";"1";"KEMET ";"C1206C224J1RECAUTO ";"80-C1206C224J1RECAUT ";"";"Analogmodul"
"C21";"100n";"Capacitor_SMD:C_1206_3216Metric";"1";"KEMET ";"C1206C224J1RECAUTO ";"80-C1206C224J1RECAUT ";"";"Analogmodul"
"C22";"100n";"Capacitor_SMD:C_1206_3216Metric";"1";"KEMET ";"C1206C224J1RECAUTO ";"80-C1206C224J1RECAUT ";"";"Analogmodul"
"C23";"10n";"Capacitor_SMD:C_1206_3216Metric";"1";"Murata Electronics ";"GRT3195C2A103JA02D ";"81-GRT3195C2A103JA2D";"";"Analogmodul"
"HS1";"ICK 20 L";"SamacSys_Parts:Heatsink ICK 20 L";"1";"";"";"";"";"Analogmodul"
"IC1";"SI8261BAD-C-ISR";"SamacSys_Parts:SOIC127P1150X265-6N";"1";"Skyworks";"SI8261BAD-C-ISR";"634-SI8261BAD-C-ISR";"";"Analogmodul"
"IC2";"SI8261BAD-C-ISR";"SamacSys_Parts:SOIC127P1150X265-6N";"1";"Skyworks";"SI8261BAD-C-ISR";"634-SI8261BAD-C-ISR";"";"Analogmodul"
