"Reference";"Value";"Footprint";"Qty";"Manufacturer_Name";"Manufacturer_Part_Number";"Mouser Part Number";"Exclude from BOM";"Projekt"
"C1";"100n";"Capacitor_SMD:C_1206_3216Metric";"1";"";"";"";"";"Busmodul"
"C2";"100n";"Capacitor_SMD:C_1206_3216Metric";"1";"";"";"";"";"Busmodul"
"C3";"100n";"Capacitor_SMD:C_1206_3216Metric";"1";"";"";"";"";"Busmodul"
"C4";"100n";"Capacitor_SMD:C_1206_3216Metric";"1";"";"";"";"";"Busmodul"
"C5";"100n";"Capacitor_SMD:C_1206_3216Metric";"1";"";"";"";"";"Busmodul"
"C6";"100n";"Capacitor_SMD:C_1206_3216Metric";"1";"";"";"";"";"Busmodul"
"C7";"2,2u";"Capacitor_SMD:C_1206_3216Metric";"1";"";"";"";"";"Busmodul"
"C8";"1u";"Capacitor_SMD:C_1206_3216Metric";"1";"";"";"";"";"Busmodul"
"IC1";"ISO1540DR";"SamacSys_Parts:SOIC127P600X175-8N";"1";"Texas Instruments";"ISO1540DR";"595-ISO1540DR";"";"Busmodul"
"IC2";"ISO7721FDR";"SamacSys_Parts:SOIC127P600X175-8N";"1";"Texas Instruments";"ISO7721FDR";"595-ISO7721FDR";"";"Busmodul"
"IC3";"ISO6741FQDWRQ1";"SamacSys_Parts:SOIC127P1030X265-16N";"1";"Texas Instruments";"ISO6741FQDWRQ1";"595-ISO6741FQDWRQ1";"";"Busmodul"
"IC4";"TLV76133DCYR";"SamacSys_Parts:SOT230P700X180-4N";"1";"Texas Instruments";"TLV76133DCYR";"595-TLV76133DCYR";"";"Busmodul"
"J1";"39502-1008";"SamacSys_Parts:SHDRRA8W80P0X350_1X8_2940X920X690P";"1";"Molex";"39502-1008";"538-39502-1008";"";"Busmodul"
"J2";"39502-1008";"SamacSys_Parts:SHDRRA8W80P0X350_1X8_2940X920X690P";"1";"Molex";"39502-1008";"538-39502-1008";"";"Busmodul"
"J3";"658801103040";"SamacSys_Parts:658801103040";"1";"Wurth Elektronik";"658801103040";"710-658801103040";"";"Busmodul"
"J4";"658855603040";"SamacSys_Parts:658855603040";"1";"Wurth Elektronik";"658855603040";"710-658855603040";"";"Busmodul"
"LED1";"156120GS75000";"SamacSys_Parts:156120GS75000";"1";"Wurth Elektronik";"156120GS75000";"710-156120GS75000";"";"Busmodul"
"Q1";"2N7002K";"SOT95P240X120-3N";"1";"onsemi";"2N7002K";"512-2N7002K";"";"Busmodul"
"Q2";"BSS223PWH6327XTSA1";"SOT65P210X100-3N";"1";"Infineon";"BSS223PWH6327XTSA1";"726-BSS223PWH6327XTS";"";"Busmodul"
"Q3";"BSS223PWH6327XTSA1";"SOT65P210X100-3N";"1";"Infineon";"BSS223PWH6327XTSA1";"726-BSS223PWH6327XTS";"";"Busmodul"
"Q4";"2N7002K";"SOT95P240X120-3N";"1";"onsemi";"2N7002K";"512-2N7002K";"";"Busmodul"
"Q5";"BSS223PWH6327XTSA1";"SOT65P210X100-3N";"1";"Infineon";"BSS223PWH6327XTSA1";"726-BSS223PWH6327XTS";"";"Busmodul"
"Q6";"2N7002K";"SOT95P240X120-3N";"1";"onsemi";"2N7002K";"512-2N7002K";"";"Busmodul"
"R1";"470";"Resistor_SMD:R_1206_3216Metric";"1";"";"";"";"";"Busmodul"
"R2";"1k";"Resistor_SMD:R_1206_3216Metric";"1";"";"";"";"";"Busmodul"
"R3";"1k";"Resistor_SMD:R_1206_3216Metric";"1";"";"";"";"";"Busmodul"
"R4";"1k";"Resistor_SMD:R_1206_3216Metric";"1";"";"";"";"";"Busmodul"
"R5";"1k";"Resistor_SMD:R_1206_3216Metric";"1";"";"";"";"";"Busmodul"
"R6";"10k";"Resistor_SMD:R_1206_3216Metric";"1";"";"";"";"";"Busmodul"
"R7";"10k";"Resistor_SMD:R_1206_3216Metric";"1";"";"";"";"";"Busmodul"
"R8";"10k";"Resistor_SMD:R_1206_3216Metric";"1";"";"";"";"";"Busmodul"
"S1";"DS02C-254-1L-03BE";"DS02C2541L03BE";"1";"Same Sky";"DS02C-254-1L-03BE";"490-DS02C-254-1L03BE";"";"Busmodul"
