"Reference";"Value";"Footprint";"Qty";"Manufacturer_Name";"Manufacturer_Part_Number";"Mouser Part Number";"Exclude from BOM";"Projekt"
"C1";"100n";"Capacitor_SMD:C_1206_3216Metric";"1";"";"";"";"";"Digitalmodul"
"C2";"470n";"Capacitor_SMD:C_1206_3216Metric";"1";"";"";"";"";"Digitalmodul"
"C3";"330n";"Capacitor_SMD:C_1206_3216Metric";"1";"";"";"";"";"Digitalmodul"
"C4";"100n";"Capacitor_SMD:C_1206_3216Metric";"1";"";"";"";"";"Digitalmodul"
"D9";"SS24FL";"SamacSys_Parts:SODFL3617X108N";"1";"onsemi";"SS24FL";"512-SS24FL";"";"Digitalmodul"
"D10";"SS24FL";"SamacSys_Parts:SODFL3617X108N";"1";"onsemi";"SS24FL";"512-SS24FL";"";"Digitalmodul"
"D11";"SS24FL";"SamacSys_Parts:SODFL3617X108N";"1";"onsemi";"SS24FL";"512-SS24FL";"";"Digitalmodul"
"D12";"SS24FL";"SamacSys_Parts:SODFL3617X108N";"1";"onsemi";"SS24FL";"512-SS24FL";"";"Digitalmodul"
"D13";"SS24FL";"SamacSys_Parts:SODFL3617X108N";"1";"onsemi";"SS24FL";"512-SS24FL";"";"Digitalmodul"
"D14";"SS24FL";"SamacSys_Parts:SODFL3617X108N";"1";"onsemi";"SS24FL";"512-SS24FL";"";"Digitalmodul"
"D15";"SS24FL";"SamacSys_Parts:SODFL3617X108N";"1";"onsemi";"SS24FL";"512-SS24FL";"";"Digitalmodul"
"D16";"SS24FL";"SamacSys_Parts:SODFL3617X108N";"1";"onsemi";"SS24FL";"512-SS24FL";"";"Digitalmodul"
"D17";"156120YS75000";"SamacSys_Parts:LEDC5017X140N";"1";"Wurth Elektronik";"156120YS75000";"710-156120YS75000";"";"Digitalmodul"
"D18";"156120YS75000";"SamacSys_Parts:LEDC5017X140N";"1";"Wurth Elektronik";"156120YS75000";"710-156120YS75000";"";"Digitalmodul"
"D19";"156120YS75000";"SamacSys_Parts:LEDC5017X140N";"1";"Wurth Elektronik";"156120YS75000";"710-156120YS75000";"";"Digitalmodul"
"D20";"156120YS75000";"SamacSys_Parts:LEDC5017X140N";"1";"Wurth Elektronik";"156120YS75000";"710-156120YS75000";"";"Digitalmodul"
"D21";"156120YS75000";"SamacSys_Parts:LEDC5017X140N";"1";"Wurth Elektronik";"156120YS75000";"710-156120YS75000";"";"Digitalmodul"
"D22";"156120YS75000";"SamacSys_Parts:LEDC5017X140N";"1";"Wurth Elektronik";"156120YS75000";"710-156120YS75000";"";"Digitalmodul"
"D23";"156120YS75000";"SamacSys_Parts:LEDC5017X140N";"1";"Wurth Elektronik";"156120YS75000";"710-156120YS75000";"";"Digitalmodul"
"D24";"156120YS75000";"SamacSys_Parts:LEDC5017X140N";"1";"Wurth Elektronik";"156120YS75000";"710-156120YS75000";"";"Digitalmodul"
"D25";"156120YS75000";"SamacSys_Parts:LEDC5017X140N";"1";"Wurth Elektronik";"156120YS75000";"710-156120YS75000";"";"Digitalmodul"
"D26";"156120YS75000";"SamacSys_Parts:LEDC5017X140N";"1";"Wurth Elektronik";"156120YS75000";"710-156120YS75000";"";"Digitalmodul"
"D27";"156120YS75000";"SamacSys_Parts:LEDC5017X140N";"1";"Wurth Elektronik";"156120YS75000";"710-156120YS75000";"";"Digitalmodul"
