"Reference";"Value";"Footprint";"Qty";"Manufacturer_Name";"Manufacturer_Part_Number";"Mouser Part Number";"Exclude from BOM";"Projekt"
"C1";"330n";"Capacitor_SMD:C_1206_3216Metric";"1";"Samsung Electro-Mechanics ";"CL31A106KBHNNNE ";"187-CL31A106KBHNNNE ";"";"Hauptmodul"
"C2";"100n";"Capacitor_SMD:C_1206_3216Metric";"1";"Samsung Electro-Mechanics ";"CL31A106KBHNNNE ";"187-CL31A106KBHNNNE ";"";"Hauptmodul"
"C3";"10u";"Capacitor_SMD:C_1206_3216Metric";"1";"Samsung Electro-Mechanics ";"CL31A106KBHNNNE ";"187-CL31A106KBHNNNE ";"";"Hauptmodul"
"C4";"100n";"Capacitor_SMD:C_1206_3216Metric";"1";"Samsung Electro-Mechanics ";"CL31A106KBHNNNE ";"187-CL31A106KBHNNNE ";"";"Hauptmodul"
"C5";"100n";"Capacitor_SMD:C_1206_3216Metric";"1";"Samsung Electro-Mechanics ";"CL31A106KBHNNNE ";"187-CL31A106KBHNNNE ";"";"Hauptmodul"
"C6";"100n";"Capacitor_SMD:C_1206_3216Metric";"1";"Samsung Electro-Mechanics ";"CL31A106KBHNNNE ";"187-CL31A106KBHNNNE ";"";"Hauptmodul"
"C7";"100n";"Capacitor_SMD:C_1206_3216Metric";"1";"Samsung Electro-Mechanics ";"CL31A106KBHNNNE ";"187-CL31A106KBHNNNE ";"";"Hauptmodul"
"C8";"100n";"Capacitor_SMD:C_1206_3216Metric";"1";"Samsung Electro-Mechanics ";"CL31A106KBHNNNE ";"187-CL31A106KBHNNNE ";"";"Hauptmodul"
"C9";"100n";"Capacitor_SMD:C_1206_3216Metric";"1";"Samsung Electro-Mechanics ";"CL31A106KBHNNNE ";"187-CL31A106KBHNNNE ";"";"Hauptmodul"
"D1";"SD1206S040S1R0";"SamacSys_Parts:DIOC3419X116N";"1";"Kyocera AVX";"SD1206S040S1R0";"581-SD1206S040S1R0";"";"Hauptmodul"
"D3";"PESD1CAN,215";"SamacSys_Parts:SOT95P230X110-3N";"1";"Nexperia";"PESD1CAN,215";"771-PESD1CAN-T/R";"";"Hauptmodul"
"H1";"MountingHole";"MountingHole:MountingHole_3.2mm_M3";"1";"";"";"";"Von Bauteilliste ausgeschlossen";"Hauptmodul"
"H2";"MountingHole";"MountingHole:MountingHole_3.2mm_M3";"1";"";"";"";"Von Bauteilliste ausgeschlossen";"Hauptmodul"
"IC1";"SN65HVD230QDRG4Q1";"SamacSys_Parts:SOIC127P600X175-8N";"1";"Texas Instruments";"SN65HVD230QDRG4Q1";"595-S65HVD230QDRG4Q1";"";"Hauptmodul"
"IC2";"L78L05ACZ";"SamacSys_Parts:L78L05ACZ";"1";"STMicroelectronics";"L78L05ACZ";"511-L78L05ACZ";"";"Hauptmodul"
"IC3";"VOFD341A-X008T";"SamacSys_Parts:SOIC127P1150X378-6N";"1";"Vishay";"VOFD341A-X008T";"625-VOFD341A-X008T";"";"Hauptmodul"
"IC4";"ISO7721FDR";"SamacSys_Parts:SOIC127P600X175-8N";"1";"Texas Instruments";"ISO7721FDR";"595-ISO7721FDR";"";"Hauptmodul"
"IC5";"ESP32-DEVKITC-VE";"SamacSys_Parts:ESP32DEVKITCVE";"1";"Espressif Systems";"ESP32-DEVKITC-VE";"356-ESP32-DEVKTC32VE";"";"Hauptmodul"
"IC6";"MCP602-E_SN";"SamacSys_Parts:SOIC127P600X175-8N";"1";"Microchip";"MCP602-E/SN";"579-MCP602-E/SN";"";"Hauptmodul"
"IC7";"MCP23017T-E_SO";"SamacSys_Parts:SOIC127P1030X265-28N";"1";"Microchip";"MCP23017T-E/SO";"579-MCP23017T-E/SO";"";"Hauptmodul"
"IC9";"AD22100KTZ";"SamacSys_Parts:TO128P419X483X533-3P";"1";"Analog Devices";"AD22100KTZ";"584-AD22100KTZ";"";"Hauptmodul"
"J1";"43860-5025";"SamacSys_Parts:438605025";"1";"Molex";"43860-5025";"538-43860-5025";"";"Hauptmodul"
"J2";"39502-1004";"SamacSys_Parts:SHDRRA4W80P0X350_1X4_1540X920X730P";"1";"Molex";"39502-1004";"538-39502-1004";"";"Hauptmodul"
"J3";"39502-1002";"SamacSys_Parts:SHDR2W80P0X350_1X2_840X920X690P";"1";"Molex";"39502-1002";"538-39502-1002";"";"Hauptmodul"
"J4";"Conn_01x19_Socket";"Connector_PinSocket_2.54mm:PinSocket_1x19_P2.54mm_Vertical";"1";"";"";"";"";"Hauptmodul"
"J5";"Conn_01x19_Socket";"Connector_PinSocket_2.54mm:PinSocket_1x19_P2.54mm_Vertical";"1";"";"";"";"";"Hauptmodul"
"J6";"B3B-XH-A_LF__SN_";"SamacSys_Parts:B3BXHALFSN";"1";"JST (JAPAN SOLDERLESS TERMINALS)";"B3B-XH-A(LF)(SN)";"306-B3BXHALFSNP";"";"Hauptmodul"
"J7";"658855603040";"SamacSys_Parts:658855603040";"1";"Wurth Elektronik";"658855603040";"710-658855603040";"";"Hauptmodul"
"JP1";"SolderJumper_2_Open";"Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm";"1";"";"";"";"Von Bauteilliste ausgeschlossen";"Hauptmodul"
