"Reference";"Value";"Footprint";"Qty";"Manufacturer_Name";"Manufacturer_Part_Number";"Mouser Part Number"
"J1";"Conn_01x02";"Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical";"1";"";"";""
"J2";"Conn_01x02";"Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical";"1";"";"";""
"J3";"Conn_01x04";"Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical";"1";"";"";""
"K1";"PCN-105D3MHZ";"SamacSys_Parts:PCN105D3MHZ";"1";"TE Connectivity";"PCN-105D3MHZ";"677-PCN-105D3MHZ"
"K2";"PCN-105D3MHZ";"SamacSys_Parts:PCN105D3MHZ";"1";"TE Connectivity";"PCN-105D3MHZ";"677-PCN-105D3MHZ"
"LED1";"156120GS75000";"SamacSys_Parts:156120GS75000";"1";"Wurth Elektronik";"156120GS75000";"710-156120GS75000"
"LED2";"156120GS75000";"SamacSys_Parts:156120GS75000";"1";"Wurth Elektronik";"156120GS75000";"710-156120GS75000"
"Q1";"2N7002K";"SamacSys_Parts:SOT95P240X120-3N";"1";"onsemi";"2N7002K";"512-2N7002K"
"Q2";"2N7002K";"SamacSys_Parts:SOT95P240X120-3N";"1";"onsemi";"2N7002K";"512-2N7002K"
"R1";"470";"Resistor_SMD:R_1206_3216Metric";"1";"YAGEO ";"AC1206FR-07470RL ";"603-AC1206FR-07470RL "
"R2";"100";"Resistor_SMD:R_1206_3216Metric";"1";"YAGEO ";"AC1206FR-07100RL ";"603-AC1206FR-07100RL "
"R3";"10k";"Resistor_SMD:R_1206_3216Metric";"1";"YAGEO ";"RC1206FR-1310KL ";"603-RC1206FR-1310KL "
"R4";"470";"Resistor_SMD:R_1206_3216Metric";"1";"YAGEO ";"AC1206FR-07470RL ";"603-AC1206FR-07470RL "
"R5";"100";"Resistor_SMD:R_1206_3216Metric";"1";"YAGEO ";"AC1206FR-07100RL ";"603-AC1206FR-07100RL "
"R6";"10k";"Resistor_SMD:R_1206_3216Metric";"1";"YAGEO ";"RC1206FR-1310KL ";"603-RC1206FR-1310KL "
